Country,Code,Year,Life Ladder,Log GDP Per Capita,Social Support,Health Life Expectancy,Freedom,Generosity,Corruption,Country Code,electricity,Gross savings,Inflation,Primary completion rate,Renewable electricity,Renewable energy consumption,preprimary_education,primary_education,secondary_eductaion,undernourishment,population below poverty line ,drinking water services,Unemployment male rate,Unemployment women rate,Income Classification,Internet services,Life expectancy birth,Population,Rural population,Urban population
Australia,AUS,2005,7.340688229,10.66205788,0.96789217,69.80000305,0.9349733,-0.002299078,0.390415937,AUS,100,21.04054248,2.691831683,91.28074342,8.803706639,6.712299824,86.6051712,102.7393188,85.87845777,12.7760176,4.732528736,100,4.9,5.2,High income,63,80.84146341,20394800,15.418,84.582
Belgium,BEL,2005,7.262290478,10.74380779,0.934874713,68.40000153,0.923843026,-0.002299078,0.597554445,BEL,100,27.31620669,2.781432637,91.28074342,2.457151524,2.458800077,119.4127884,100.4623413,159.8901367,12.7760176,0.2,100,7.6,9.5,High income,55.82,78.9804878,10478617,2.597,97.403
Brazil,BRA,2005,6.636771202,9.4351511,0.882922947,63.09999847,0.882186115,-0.002299078,0.744994044,BRA,97.093513,18.1140694,6.869537209,91.28074342,87.12462751,46.27059937,62.93905588,133.2621613,101.2919922,6.5,8.6,93.46857671,7.874074074,9.485264133,Lower-middle income,21.02274725,71.896,186127108,17.166,82.834
Canada,CAN,2005,7.418048382,10.70729923,0.961552441,70.5,0.957306266,0.248032972,0.502681196,CAN,100,24.45175414,2.213552034,91.28074342,60.02942674,21.99230003,62.93905588,97.36457062,101.3911896,12.7760176,4.732528736,99,7,6.5,High income,71.66,80.19268293,32243753,19.878,80.122
Czechia,CZE,2005,6.439256668,10.32168579,0.918759465,67.09999847,0.865234971,-0.002299078,0.900732756,CZE,100,26.78176141,1.857097891,98.93743896,3.822728882,7.534900188,116.442482,99.21469879,95.67085266,12.7760176,0,93.46857671,6.5,9.8,Upper-middle income,35.27,75.92439024,10211216,26.398,73.602
Denmark,DNK,2005,8.01893425,10.84901237,0.972371519,68.30000305,0.97113502,-0.002299078,0.236521706,DNK,100,26.40806444,1.817814583,100.3595734,27.0705733,16.09670067,94.71322632,98.73159027,124.0997162,12.7760176,0.3,100,4.4,5.3,High income,82.74,77.84390244,5419432,14.144,85.856
Egypt,EGY,2005,5.167754173,8.989677429,0.847842455,61.40000153,0.81736201,-0.002299078,0.750439852,EGY,99.4,21.84229211,4.869396969,91.97186279,12.14095133,6.188899994,15.65999985,95.70667267,85.87845777,6.4,4.732528736,98,7.1,24.3,Lower-middle income,12.75,69.434,75523576,56.973,43.027
France,FRA,2005,7.093392849,10.63676929,0.940338254,70.69999695,0.89481926,-0.002299078,0.687850833,FRA,100,22.46340311,1.745869364,91.28074342,9.860646697,8.660400391,110.1350784,104.6364899,106.7816772,12.7760176,0,100,7.8,9.3,High income,42.87,80.16341463,63179356,22.87,77.13
Germany,DEU,2005,6.619549751,10.69079208,0.963490367,69.90000153,0.846623778,-0.002299078,0.781006813,DEU,100,24.13044535,1.546909652,96.87963867,10.15021111,7.278900146,62.93905588,103.1063766,102.2795868,12.7760176,0,100,11.4,10.9,High income,68.71,78.93170732,82469422,24.02,75.98
Greece,GRC,2005,6.006309986,10.45363522,0.836539447,69.59999847,0.734171808,-0.002299078,0.860563099,GRC,100,22.29355488,3.54507354,96.45877075,10.77961196,8.005000114,65.28224945,97.83577728,100.8174896,12.7760176,0.3,100,6.2,15.4,High income,24,79.23902439,10987314,25.548,74.452
Hungary,HUN,2005,5.193933487,10.10293579,0.929628253,65,0.696874499,-0.002299078,0.902810693,HUN,100,16.38124259,3.561517114,93.81266022,5.229891487,7.289000034,86.54878998,98.16443634,96.2646637,12.7760176,0.7,100,7,7.4,Upper-middle income,38.97,72.64878049,10087065,33.635,66.365
Iran,IRN,2005,5.308190346,9.497694016,0.765978038,64.30000305,0.651167691,-0.002299078,0.636490345,IRN,98.58142853,22.29355488,13.43311801,106.1525497,9.080342303,1.400599957,44.47291183,99.19589996,77.23351288,5.2,0.6,95,10.5,18.2,Lower-middle income,8.1,71.917,69762345,32.442,67.558
Italy,ITA,2005,6.853783607,10.697855,0.928000689,70.59999847,0.802194953,-0.002299078,0.943912327,ITA,100,20.27912986,1.985292985,100.3055573,16.31821857,6.702300072,102.8095016,102.290947,99.28780365,12.7760176,0.6,93.46857671,7.874074074,9.485264133,High income,35,80.78292683,57969484,32.262,67.738
Japan,JPN,2005,6.515817165,10.55191517,0.927711964,72.40000153,0.867779255,-0.002299078,0.698929727,JPN,100,28.2674399,-0.282946069,91.28074342,8.407113732,4.038099766,62.93905588,103.8314319,85.87845777,12.7760176,4.732528736,99,4.6,4.2,High income,66.9210661,81.92512195,127773000,14.022,85.978
Jordan,JOR,2005,6.294660091,9.28282547,0.920012951,65.80000305,0.738455519,-0.002299078,0.669726729,JOR,99.19959259,16.10986116,3.493685346,96.16149902,0.673296043,1.689700007,30.80591965,96.90155029,84.40345764,5.5,4.732528736,99,12.8,25.9,Lower-middle income,12.93285205,72.595,5765639,20.515,79.485
Lebanon,LBN,2005,5.49124527,9.572590828,0.796278358,65.09999847,0.703205824,-0.002299078,0.945177019,LBN,99.60372925,7.472650568,5.081150938,91.28074342,8.477186158,6.970900059,62.93905588,103.8314319,85.87845777,10.9,4.732528736,93.46857671,7.874074074,9.485264133,Upper-middle income,10.14,76.865,4698761,13.373,86.627
Mexico,MEX,2005,6.580657959,9.791635513,0.902807653,64.40000153,0.813745499,-0.002299078,0.764249027,MEX,98.932728,21.28543009,3.988057146,100.5736389,15.19731385,10.30669975,91.17910767,108.6008377,82.30407715,4.4,6.6,93.46857671,7.874074074,9.485264133,Upper-middle income,17.21,75.3,106005199,23.692,76.308
Netherlands,NLD,2005,7.463979244,10.80906963,0.947357953,70.69999695,0.901007771,-0.002299078,0.57134223,NLD,100,25.69979086,1.688130179,91.28074342,7.4508862,2.741699934,62.93905588,106.7393265,118.3736115,12.7760176,0.1,100,5,6.9,High income,81,79.34634146,16319868,17.37,82.63
Pakistan,PAK,2005,5.224657536,8.25220871,0.590945721,53.20000076,0.629995883,-0.002299078,0.844436169,PAK,70.63711548,19.76342243,9.06332737,60.16038895,32.96200963,47.96210098,45.97943115,81.27757263,25.63673973,17.6,18.7,93.46857671,7.874074074,9.485264133,Low income,6.332329098,63.951,160304007,66.018,33.982
Poland,POL,2005,5.587209225,9.843979836,0.921527624,66.19999695,0.782473147,-0.002299078,0.982930899,POL,100,16.88105035,2.183798724,94.62142944,2.476200285,7.216199875,54.23524094,94.52987671,99.58297729,12.7760176,0.9,98,16.6,19.1,Upper-middle income,38.81,74.99512195,38165445,38.548,61.452
Romania,ROU,2005,5.048648357,9.733084679,0.837685466,64.5,0.800120592,-0.002299078,0.956884563,ROU,100,14.21932845,9.014912833,103.5839615,34.02117382,18.50989914,74.23298645,109.7396622,82.47559357,12.7760176,4.732528736,100,7.8,6.4,Upper-middle income,21.5,71.91219512,21319685,46.826,53.174
Saudi Arabia,SAU,2005,7.079644203,10.6748333,0.867819488,61.20000076,0.738455519,-0.002299078,0.505149066,SAU,100,48.65310796,0.479230398,86.10549164,0,0.0084,11.15863037,95.70171356,87.43875885,4.8,4.732528736,98,4.6,14.1,High income,12.70503599,73.256,23816175,19.021,80.979
Spain,ESP,2005,7.152785778,10.54381371,0.961042881,70.40000153,0.916164696,-0.002299078,0.777272284,ESP,100,22.12266408,3.368453988,91.28074342,14.60139232,7.29309988,62.93905588,103.0569916,117.3422318,12.7760176,0.8,100,7.1,12,High income,47.88,80.17073171,43653155,22.737,77.263
Sweden,SWE,2005,7.376315594,10.72415447,0.951469898,71,0.964395404,-0.002299078,0.750439852,SWE,100,28.3820615,0.453170853,100.1336136,51.29416222,40.21780014,94.06677246,95.80499268,104.0597076,12.7760176,1,100,7.6,7.4,High income,84.83,80.54634146,9029572,15.681,84.319
Turkey,TUR,2005,4.718733788,9.800280571,0.819936395,66.09999847,0.623114944,-0.002299078,0.876998603,TUR,83.26198851,23.64036416,8.179160368,102.6131134,24.54246832,15.33880043,10.86096954,103.1762619,83.93792725,12.7760176,2.3,94,10.5,11.2,Upper-middle income,15.46,72.424,67903461,32.16,67.84
United Kingdom,GBR,2005,6.983556747,10.66725636,0.978839755,69.09999847,0.922354519,-0.002299078,0.398456872,GBR,100,15.70330546,2.08913649,91.28074342,4.283481612,1.352100015,71.02757263,106.3861694,105.4219666,12.7760176,0.5,100,5.1,4.3,High income,70,79.04878049,60401206,20.085,79.915
Venezuela,VEN,2005,7.169620991,9.316228867,0.955278456,65.5,0.838198006,-0.002299078,0.719800055,VEN,98.93270111,40.63935011,5.081150938,91.47277832,73.28342063,14.23159981,57.81787872,104.1765594,74.59802246,8.4,13.9,93.46857671,7.874074074,9.485264133,Upper-middle income,12.55299791,72.852,26432445,12.046,87.954
Argentina,ARG,2006,6.312925339,9.936885834,0.938462794,65.81999969,0.733003676,-0.159916088,0.851799488,ARG,97.13230133,21.39021435,5.081150938,97.10247803,37.1276984,9.180100441,63.67604828,117.2033005,91.81352997,3.4,3.3,98,8.4,12.3,Upper-middle income,20.9272021,74.62,39289876,9.8,90.2
Armenia,ARM,2006,4.289310932,9.020847321,0.681876779,63.84000015,0.520197809,-0.232203081,0.849513113,ARM,99.23873901,28.54483369,2.892356625,93.81121063,30.71873422,7.650800228,35.06798172,100.1557999,94.94132996,9.3,2.1,93.46857671,7.874074074,9.485264133,Lower-middle income,5.631787777,72.716,2958301,36.161,63.839
Austria,AUT,2006,7.122211456,10.83645248,0.936350405,69.5,0.941382349,0.298436075,0.490111172,AUT,100,26.7350904,1.441548511,91.28074342,65.51552516,26.75060081,89.92086029,101.559288,100.3299637,12.7760176,0.1,100,4.9,5.6,High income,63.6,79.8804878,8268641,41.468,58.532
Azerbaijan,AZE,2006,4.727870941,9.154187202,0.85441488,60.58000183,0.771528184,-0.236623272,0.774117172,AZE,99.5,44.28018555,8.328924829,91.6054306,10.25954447,2.861000061,26.74821091,94.21665955,85.87845777,2.8,4.732528736,81,6.9,6.3,Lower-middle income,11.99217733,69.259,8484550,47.411,52.589
